created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Sep 21 00:21:36 +0000 2023;1704652060761993331;"Hipnosis yang dilakukan oleh penyedia layanan kesehatan terlatih merupakan pengobatan medis yang aman, komplementer, dan alternatif. Namun perlu diingat bahwa hipnosis mungkin tidak aman bagi sebagian orang dengan penyakit mental parah. #calmhypnosis #hypnotherapy https://t.co/DV95r2MQmz";0;0;0;0;in;1669279252649476097;1704652060761993331;IHipnoterapi;https://twitter.com/IHipnoterapi/status/1704652060761993331
Wed Sep 20 06:44:30 +0000 2023;1704386032815501640;"@AdjieSanPutro hanya berdoa dg penuh harapan yang ada AKSI NYATA “Siapapun Presidennya, semoga tidak melupakan isu kesehatan mental”";0;0;0;1;in;420871330;1704369059591274537;hyhule;https://twitter.com/hyhule/status/1704386032815501640
Wed Sep 20 05:16:01 +0000 2023;1704363761770143845;"@siskanoviw @yusufgunawan @Sam_Ardi Dedikasinya masih tinggi sekali dalm kegiatan kebencanaan dan sar, apalagi dibidang kesehatan mental setelh bencana kayaknya cuman pak Sulis aja yg fokus ke situ https://t.co/mb3nT5L90p";0;1;0;0;in;1026310250;1704295519080927719;burhan_infinity;https://twitter.com/burhan_infinity/status/1704363761770143845
Wed Sep 20 04:29:14 +0000 2023;1704351991441526983;"Jangan ragu untuk mencari bantuan. Terapi kesehatan mental adalah langkah awal yang baik menuju keseimbangan dan kesejahteraan mental.   Jangan biarkan stigma dan miskonsepi yang salah di masyarakat menghentikan langkah kita menuju kesehatan mental yang lebih baik.";0;0;0;3;in;1494877853481320449;1704351991441526983;Merajuthati_;https://twitter.com/Merajuthati_/status/1704351991441526983
Tue Sep 19 06:24:14 +0000 2023;1704018541983547469;"Ketika kita mampu mengendalikan stres, kita tidak hanya menjaga kesehatan mental kita, tapi juga bisa menjadi lebih produktif menjalankan tugas dan tanggung jawab kita.";0;0;0;3;in;1494877853481320449;1704018540192498154;Merajuthati_;https://twitter.com/Merajuthati_/status/1704018541983547469
Tue Sep 19 06:24:13 +0000 2023;1704018540192498154;"Stres adalah salah satu pengaggu bagi kesehatan mental. Untuk itu, penting bagi kita untuk merawat pikiran kita dan mempelajari cara-cara mengelola stres dengan baik dan benar.";0;1;0;3;in;1494877853481320449;1704018540192498154;Merajuthati_;https://twitter.com/Merajuthati_/status/1704018540192498154
Mon Sep 18 12:15:53 +0000 2023;1703744651415699561;"Cuyy kelen semua jgn lupa dateng ke seminar pacarku yhh. Demi kesehatan mental bersama, mari kita ikut seminar mark lee💘 sampai jumpa di gbk seng🫦 https://t.co/09hjkxTLtu";0;0;0;1;in;1169763372419579905;1703744651415699561;aesanaeco;https://twitter.com/aesanaeco/status/1703744651415699561
Sat Sep 16 17:16:45 +0000 2023;1703095591612674273;"@ryanichiro2912 🤣🤣🤣 demi kesehatan mental ya ?";0;1;0;0;in;1211954717942665216;1703085246957379747;sulaiman_utama;https://twitter.com/sulaiman_utama/status/1703095591612674273
Sat Sep 16 16:25:14 +0000 2023;1703082625647427904;"Demi kesehatan mental seminggu kesepan. https://t.co/5VLHtTnG1F";0;0;0;0;in;2612969910;1703082625647427904;ygaSkip;https://twitter.com/ygaSkip/status/1703082625647427904
Sat Sep 16 11:15:25 +0000 2023;1703004658699231609;"Demi kesehatan mental dan batin , semua medsos kmu aku senyapkan.";0;1;0;1;in;464337995;1703004658699231609;sonyaanggun;https://twitter.com/sonyaanggun/status/1703004658699231609
Sat Sep 16 07:30:52 +0000 2023;1702948149487415600;"🧠 Kesehatan Mental  Ruangan yang berantakan ternyata bisa jadi refleksi dari keadaan mental kita.  Sebuah penelitian dari Personality and Social Psychology Bulletin menemukan bahwa orang yang menggambarkan rumahnya sebagai "berantakan" memiliki level kortisol (hormon stres) yang… https://t.co/8R4qoAZxPF";0;1;0;1;in;33157370;1702945113415291002;barlieve;https://twitter.com/barlieve/status/1702948149487415600
Fri Sep 15 18:58:18 +0000 2023;1702758758936617132;"Saatnya tidak buka instagram hari ini sampai besok demi kesehatan mental 🤸‍♂️";0;0;0;0;in;1486172630827016196;1702758758936617132;necchiato;https://twitter.com/necchiato/status/1702758758936617132
Fri Sep 15 14:40:41 +0000 2023;1702693925948195192;"@utdfocusid Ketika standar tidak diterapkan dengan bagus, maka hal itu yang terjadi pada Ole. Kurang tegas terhadap pemain berimbas buruk di kesehatan mental team.";0;0;0;1;in;2375000976;1702688294323257839;fansemyuwkwk;https://twitter.com/fansemyuwkwk/status/1702693925948195192
Wed Sep 13 14:06:29 +0000 2023;1701960544838672587;"Bismillah Semakin banyak oknum yang terganggu mental healthnya @tni_ad @_TNIAU @_TNIAL_ Mohon diadakan pemeriksaan kesehatan gizi dan mental setiap 6 bulan sekali seperti MCU wajib lainnya";0;0;0;0;in;89715872;1701960544838672587;nurlienda;https://twitter.com/nurlienda/status/1701960544838672587
Wed Sep 13 05:41:31 +0000 2023;1701833464579064180;"@tanyarlfes Gpp nder Blokir aj dulu nomorny jg gpp, demi kesehatan mental kamu jg Pengalamanku pernah jg punya teman negatif mulu, jd kebawa negatif n lelah Akhirny kuulti, capek bgt sumpah";0;0;0;0;in;1175318472995172353;1701795094381363456;GeMelLoveSik;https://twitter.com/GeMelLoveSik/status/1701833464579064180
Tue Sep 12 01:20:33 +0000 2023;1701405405744865417;"Bener juga... Salah 1 cara jaga kesehatan ( Mental ) adl Tidak TERLALU terhubung dg bnyak MANUSIA. Bukan Jahat,bukan ingin Dijauhi.Hanya saja yg tau KAPASITAS DIRI KITA adl Kita sendiri. #JanganDipaksa";0;0;0;0;in;1529343863990521857;1701405405744865417;Kalm_Learn;https://twitter.com/Kalm_Learn/status/1701405405744865417
Mon Sep 11 07:38:00 +0000 2023;1701138006009381372;"Dukungan Anda membantu kami memberikan bantuan kesehatan mental bagi teman-teman kita yang memiliki hambatan akses kesehatan mental di Indonesia - setiap kontribusi anda sangat berarti!  https://t.co/rRQC7AB81n";3;0;3;3;in;1494877853481320449;1701138003002110259;Merajuthati_;https://twitter.com/Merajuthati_/status/1701138006009381372
Mon Sep 11 07:38:00 +0000 2023;1701138003002110259;"Sebagai organisasi non-profit, kami sangat menghargai dukungan dalam bentuk donasi untuk mencapai visi dan misi kami di bidang kesehatan mental.";0;1;3;3;in;1494877853481320449;1701138003002110259;Merajuthati_;https://twitter.com/Merajuthati_/status/1701138003002110259
